LOCCODE,PUERTO,AREA
ESFNE,Finisterre,GN
ESCIO,Cillero,GN
ESBDF,Barbate,GC
ESMRS,Muros,GS
ESSNN,Santoña,AC
ESSNI,Santa Eugenia de Ribeira,GS
ESLCG,A Coruña,GN
ESZGA,Isla Cristina,GC
ESGIJ,Gijón,AC
ESAVS,Avilés,AC
ESSVB,San Vicente de la Barquera,AC
ESVGO,Vigo,GS
ESCED,Cedeira,GN
ESMPG,Marín,GS
ESLUA,Luarca,AC
ESBRL,Burela,GN
ESTRF,Tarifa,GC
ESAYA,Ayamonte,GC
ESSBA,Sanlúcar de Barrameda,GC
ESZJY,Punta Umbría,GC
